iter	RMSE
0	12.99222684
1	11.87482179
2	10.89282538
3	10.04937439
4	9.244694778
5	8.471772196
6	7.815411304
7	7.183546869
8	6.629243626
9	6.117241602
10	5.665708395
11	5.230533842
12	4.828923963
13	4.456352414
14	4.137331622
15	3.854228784
16	3.587767836
17	3.349349007
18	3.122215261
19	2.911090626
20	2.715341961
21	2.542675632
22	2.387568966
23	2.261078929
24	2.129517995
25	2.014890656
26	1.919517907
27	1.825153955
28	1.738246373
29	1.655545786
30	1.587958111
31	1.523783427
32	1.462178258
33	1.408857117
34	1.36283086
35	1.316598262
36	1.274686727
37	1.238350018
38	1.206370975
39	1.180091914
40	1.153012453
41	1.128132866
42	1.108914508
43	1.089196499
44	1.075281205
45	1.058013888
46	1.042119947
47	1.03017422
48	1.017106533
49	1.005428973
50	0.9943071706
51	0.9843725217
52	0.9763624704
53	0.9672645346
54	0.9591916323
55	0.9514090173
56	0.9421381481
57	0.9355100144
58	0.9288497846
59	0.9214808624
60	0.9170215686
61	0.9123737458
62	0.9061275182
63	0.9024413034
64	0.8976229833
65	0.892961339
66	0.8881846445
67	0.8828606609
68	0.8797449735
69	0.8769357693
70	0.8739152587
71	0.8701187638
72	0.8675418749
73	0.8626077452
74	0.8586245308
75	0.8554581669
76	0.8522067915
77	0.8508312859
78	0.8481365196
79	0.8455927404
80	0.8434936598
81	0.8403368752
82	0.8374437159
83	0.8359343561
84	0.8330945292
85	0.8306697331
86	0.828481746
87	0.8255572346
88	0.8211994414
89	0.81979788
90	0.8175257772
91	0.8146353587
92	0.8103075649
93	0.8088232472
94	0.807428677
95	0.8050813392
96	0.8016057576
97	0.7990999155
98	0.7967944971
99	0.7935534604
100	0.7919184057
101	0.7905844206
102	0.7892259048
103	0.7870389448
104	0.7857991074
105	0.7837382218
106	0.7820150698
107	0.7800496144
108	0.7771010221
109	0.7734908503
110	0.7696395907
111	0.7670016051
112	0.7656350533
113	0.764590291
114	0.7619529377
115	0.7601155331
116	0.7589072912
117	0.7576925771
118	0.7566549361
119	0.7551929253
120	0.7531220962
121	0.7519854003
122	0.7502249102
123	0.7467197864
124	0.7447796013
125	0.7425040481
126	0.7417918879
127	0.7403506996
128	0.7389255066
129	0.7376116491
130	0.7367177636
131	0.7352698124
132	0.7343301234
133	0.7323803696
134	0.730395373
135	0.7290654069
136	0.7265385257
137	0.7253891053
138	0.7243118443
139	0.7231538259
140	0.7209488528
141	0.7194483181
142	0.7186215834
143	0.7166828869
144	0.7150645804
145	0.714060176
146	0.7131322044
147	0.7120053583
148	0.7096088824
149	0.7083468699
150	0.7069123597
151	0.7059059711
152	0.7047492695
153	0.7033196609
154	0.701360472
155	0.7004846172
156	0.699575447
157	0.6983032451
158	0.6964435892
159	0.69531999
160	0.6941518452
161	0.6934447813
162	0.6925865571
163	0.6906679376
164	0.6899444021
165	0.6891666007
166	0.6884606395
167	0.6871950746
168	0.6859732717
169	0.6855953622
170	0.6846273608
171	0.6835860349
172	0.6817495491
173	0.6808392759
174	0.679551432
175	0.678455261
176	0.6773823441
177	0.6760899194
178	0.67484007
179	0.6731993097
180	0.672552302
181	0.6709245044
182	0.6703481667
183	0.6689795005
184	0.6675833726
185	0.666334444
186	0.6656192865
187	0.6650887826
188	0.6643807816
189	0.6623834903
190	0.6616491811
191	0.6609493837
192	0.6599390864
193	0.6584635469
194	0.6572433328
195	0.65506384
196	0.6542469902
197	0.6537752066
